,지하철역,평일당일권,2시간권,3시간권,4시간권,평일5시간권,6시간권,12시간권,주간권,공유 주차장,월주차,평일심야권
0,구파발역,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,연신내역,9900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
2,독바위역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,불광역,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,0.0
4,불광역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0
5,구산역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0
6,역촌역,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,11300.0,0.0,0.0,0.0
7,응암역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,녹번역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,새절역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,증산역,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
11,수색역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49700.0,0.0
12,디지털미디어시티역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
13,홍제역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
14,무약재역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
15,마포구청역,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,독립문역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,망원역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,합정역,9900.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,1200.0,160000.0,0.0
